Element Object,Element Type,Pitch/Rest,Start Time,End Time,Duration (sec)
<music21.note.Note F>,Note,F2,0:00:09.931034,0:00:10.137931,0.207
<music21.note.Note G>,Note,G2,0:00:10.137931,0:00:10.344828,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:10.344828,0:00:10.551724,0.207
<music21.note.Note B->,Note,B-2,0:00:10.551724,0:00:10.758621,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:10.758621,0:00:10.965517,0.207
<music21.note.Note C>,Note,C3,0:00:10.965517,0:00:11.172414,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:11.172414,0:00:11.379310,0.207
<music21.note.Note D>,Note,D3,0:00:11.379310,0:00:11.586207,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:11.586207,0:00:11.793103,0.207
<music21.note.Note F>,Note,F3,0:00:11.793103,0:00:12,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:12,0:00:12.206897,0.207
<music21.note.Note D>,Note,D3,0:00:12.206897,0:00:12.413793,0.207
<music21.note.Note F>,Note,F3,0:00:12.413793,0:00:12.620690,0.207
<music21.note.Note G>,Note,G3,0:00:12.620690,0:00:12.827586,0.207
<music21.note.Note F>,Note,F3,0:00:12.827586,0:00:13.034483,0.207
<music21.note.Note G>,Note,G3,0:00:13.034483,0:00:13.241379,0.207
<music21.note.Note F>,Note,F2,0:00:13.241379,0:00:13.448276,0.207
<music21.note.Note G>,Note,G2,0:00:13.448276,0:00:13.655172,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:13.655172,0:00:13.862069,0.207
<music21.note.Note B->,Note,B-2,0:00:13.862069,0:00:14.068966,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:14.068966,0:00:14.275862,0.207
<music21.note.Note C>,Note,C3,0:00:14.275862,0:00:14.482759,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:14.482759,0:00:14.689655,0.207
<music21.note.Note D>,Note,D3,0:00:14.689655,0:00:14.896552,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:14.896552,0:00:15.103448,0.207
<music21.note.Note F>,Note,F3,0:00:15.103448,0:00:15.310345,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:15.310345,0:00:15.517241,0.207
<music21.note.Note D>,Note,D3,0:00:15.517241,0:00:15.724138,0.207
<music21.note.Note F>,Note,F3,0:00:15.724138,0:00:15.931034,0.207
<music21.note.Note G>,Note,G3,0:00:15.931034,0:00:16.137931,0.207
<music21.note.Note B->,Note,B-3,0:00:16.137931,0:00:16.344828,0.207
<music21.note.Note C>,Note,C3,0:00:16.344828,0:00:16.551724,0.207
<music21.note.Note F>,Note,F2,0:00:16.551724,0:00:16.758621,0.207
<music21.note.Note G>,Note,G2,0:00:16.758621,0:00:16.965517,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:16.965517,0:00:17.172414,0.207
<music21.note.Note B->,Note,B-2,0:00:17.172414,0:00:17.379310,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:17.379310,0:00:17.586207,0.207
<music21.note.Note C>,Note,C3,0:00:17.586207,0:00:17.793103,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:17.793103,0:00:18,0.207
<music21.note.Note D>,Note,D3,0:00:18,0:00:18.206897,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:18.206897,0:00:18.413793,0.207
<music21.note.Note F>,Note,F3,0:00:18.413793,0:00:18.620690,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:18.620690,0:00:18.827586,0.207
<music21.note.Note D>,Note,D3,0:00:18.827586,0:00:19.034483,0.207
<music21.note.Note F>,Note,F3,0:00:19.034483,0:00:19.241379,0.207
<music21.note.Note G>,Note,G3,0:00:19.241379,0:00:19.448276,0.207
<music21.note.Note F>,Note,F3,0:00:19.448276,0:00:19.655172,0.207
<music21.note.Note G>,Note,G3,0:00:19.655172,0:00:19.862069,0.207
<music21.note.Note F>,Note,F2,0:00:19.862069,0:00:20.068966,0.207
<music21.note.Note G>,Note,G2,0:00:20.068966,0:00:20.275862,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:20.275862,0:00:20.482759,0.207
<music21.note.Note B->,Note,B-2,0:00:20.482759,0:00:20.689655,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:20.689655,0:00:20.896552,0.207
<music21.note.Note C>,Note,C3,0:00:20.896552,0:00:21.103448,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:21.103448,0:00:21.310345,0.207
<music21.note.Note D>,Note,D3,0:00:21.310345,0:00:21.517241,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:21.517241,0:00:21.724138,0.207
<music21.note.Note F>,Note,F3,0:00:21.724138,0:00:21.931034,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:21.931034,0:00:22.137931,0.207
<music21.note.Note D>,Note,D3,0:00:22.137931,0:00:22.344828,0.207
<music21.note.Note F>,Note,F3,0:00:22.344828,0:00:22.551724,0.207
<music21.note.Note G>,Note,G3,0:00:22.551724,0:00:22.758621,0.207
<music21.note.Note F>,Note,F3,0:00:22.758621,0:00:22.965517,0.207
<music21.note.Note G>,Note,G3,0:00:22.965517,0:00:23.172414,0.207
<music21.note.Note F>,Note,F2,0:00:23.172414,0:00:23.379310,0.207
<music21.note.Note G>,Note,G2,0:00:23.379310,0:00:23.586207,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:23.586207,0:00:23.793103,0.207
<music21.note.Note B->,Note,B-2,0:00:23.793103,0:00:24,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:24,0:00:24.206897,0.207
<music21.note.Note C>,Note,C3,0:00:24.206897,0:00:24.413793,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:24.413793,0:00:24.620690,0.207
<music21.note.Note D>,Note,D3,0:00:24.620690,0:00:24.827586,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:24.827586,0:00:25.034483,0.207
<music21.note.Note F>,Note,F3,0:00:25.034483,0:00:25.241379,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:25.241379,0:00:25.448276,0.207
<music21.note.Note D>,Note,D3,0:00:25.448276,0:00:25.655172,0.207
<music21.note.Note F>,Note,F3,0:00:25.655172,0:00:25.862069,0.207
<music21.note.Note G>,Note,G3,0:00:25.862069,0:00:26.068966,0.207
<music21.note.Note B->,Note,B-3,0:00:26.068966,0:00:26.275862,0.207
<music21.note.Note C>,Note,C3,0:00:26.275862,0:00:26.482759,0.207
<music21.note.Note F>,Note,F2,0:00:26.482759,0:00:26.689655,0.207
<music21.note.Note G>,Note,G2,0:00:26.689655,0:00:26.896552,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:26.896552,0:00:27.103448,0.207
<music21.note.Note B->,Note,B-2,0:00:27.103448,0:00:27.310345,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:27.310345,0:00:27.517241,0.207
<music21.note.Note C>,Note,C3,0:00:27.517241,0:00:27.724138,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:27.724138,0:00:27.931034,0.207
<music21.note.Note D>,Note,D3,0:00:27.931034,0:00:28.137931,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:28.137931,0:00:28.344828,0.207
<music21.note.Note F>,Note,F3,0:00:28.344828,0:00:28.551724,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:28.551724,0:00:28.758621,0.207
<music21.note.Note D>,Note,D3,0:00:28.758621,0:00:28.965517,0.207
<music21.note.Note F>,Note,F3,0:00:28.965517,0:00:29.172414,0.207
<music21.note.Note G>,Note,G3,0:00:29.172414,0:00:29.379310,0.207
<music21.note.Note F>,Note,F3,0:00:29.379310,0:00:29.586207,0.207
<music21.note.Note G>,Note,G3,0:00:29.586207,0:00:29.793103,0.207
<music21.note.Note F>,Note,F2,0:00:29.793103,0:00:30,0.207
<music21.note.Note G>,Note,G2,0:00:30,0:00:30.206897,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:30.206897,0:00:30.413793,0.207
<music21.note.Note B->,Note,B-2,0:00:30.413793,0:00:30.620690,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:30.620690,0:00:30.827586,0.207
<music21.note.Note C>,Note,C3,0:00:30.827586,0:00:31.034483,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:31.034483,0:00:31.241379,0.207
<music21.note.Note D>,Note,D3,0:00:31.241379,0:00:31.448276,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:31.448276,0:00:31.655172,0.207
<music21.note.Note F>,Note,F3,0:00:31.655172,0:00:31.862069,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:31.862069,0:00:32.068966,0.207
<music21.note.Note F>,Note,F3,0:00:32.068966,0:00:32.275862,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:32.275862,0:00:32.482759,0.207
<music21.note.Note F>,Note,F3,0:00:32.482759,0:00:32.689655,0.207
<music21.note.Note F>,Note,F3,0:00:32.689655,0:00:32.896552,0.207
<music21.note.Note G>,Note,G3,0:00:32.896552,0:00:33.103448,0.207
<music21.note.Note F>,Note,F2,0:00:33.103448,0:00:33.310345,0.207
<music21.note.Note G>,Note,G2,0:00:33.310345,0:00:33.517241,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:33.517241,0:00:33.724138,0.207
<music21.note.Note B->,Note,B-2,0:00:33.724138,0:00:33.931034,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:33.931034,0:00:34.137931,0.207
<music21.note.Note C>,Note,C3,0:00:34.137931,0:00:34.344828,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:34.344828,0:00:34.551724,0.207
<music21.note.Note D>,Note,D3,0:00:34.551724,0:00:34.758621,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:34.758621,0:00:34.965517,0.207
<music21.note.Note F>,Note,F3,0:00:34.965517,0:00:35.172414,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:35.172414,0:00:35.379310,0.207
<music21.note.Note F>,Note,F3,0:00:35.379310,0:00:35.586207,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:35.586207,0:00:35.793103,0.207
<music21.note.Note F>,Note,F3,0:00:35.793103,0:00:36,0.207
<music21.note.Note G>,Note,G3,0:00:36,0:00:36.206897,0.207
<music21.note.Note F>,Note,F3,0:00:36.206897,0:00:36.413793,0.207
<music21.note.Note G>,Note,G2,0:00:36.413793,0:00:38.068966,1.655
